created_at,id_str,text,screen_name,rtfrom,in_reply_to_screen_name,entities,coordinates,lang
Thu Apr 30 12:13:14 +0000 2020,1255832582681436161,"URGENTE: LUÍS FUX ENCAMINHOU À PGR NOTÍCIA CRIME CONTRA BOLSONARO. 

A denúncia envolve possíveis (prováveis) NOTAS FRIAS entre 2009 e 2011 em Posto de Gasolina do RJ. 

Bolsonaro era o rei da pequena corrupção.

#DireitaQuerImpeachment",alanmunix,RenanSantosMBL,,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'RenanSantosMBL', 'name': 'Renan Santos', 'id': 1042601099566436352, 'id_str': '1042601099566436352', 'indices': [3, 18]}], 'symbols': []}",,pt
Thu Apr 30 12:13:15 +0000 2020,1255832588406665218,"#DireitaRaizÉBolsonaro 
Porca de Tróia",JosRobertoEste8,,,"{'hashtags': [{'text': 'DireitaRaizÉBolsonaro', 'indices': [0, 22]}], 'urls': [], 'user_mentions': [], 'symbols': []}",,pt
Thu Apr 30 12:13:16 +0000 2020,1255832589413371905,"Vai ""timbora"" carniça!!!",Itacilha,,,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",,pt
Thu Apr 30 12:13:17 +0000 2020,1255832595465678848,Este é filho do Presidente. Faltam-me palavras para descrever tanta imbecilidade.,sushidecostela,deppimentel,,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'deppimentel', 'name': 'Professora Dayane Pimentel', 'id': 1026636587298443265, 'id_str': '1026636587298443265', 'indices': [3, 15]}], 'symbols': []}",,pt
Thu Apr 30 12:13:19 +0000 2020,1255832604089233408,#DireitaQuerImpeachment #ForaBolsonaro Minha contribuição contra a Matrix do Carluxo,Rafa40629069,,,"{'hashtags': [{'text': 'DireitaQuerImpeachment', 'indices': [0, 23]}, {'text': 'ForaBolsonaro', 'indices': [24, 38]}], 'urls': [], 'user_mentions': [], 'symbols': []}",,pt
Thu Apr 30 12:13:20 +0000 2020,1255832606966415360,"0 ⚰ - Fantasia 
1 ⚰ - Histeria 
11 ⚰ - Gripezinha
202 ⚰ - Medinho 
1203 ⚰ - Está indo embora 
2588 ⚰ - Não sou coveiro
5083 ⚰ - E daí?

É assim que Bolsonaro combateu o Covid-19. 

#DireitaQuerImpeachment",alanmunix,RubinhoNunesMBL,,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'RubinhoNunesMBL', 'name': 'Rubinho Nunes', 'id': 2838953716, 'id_str': '2838953716', 'indices': [3, 19]}], 'symbols': []}",,pt
Thu Apr 30 12:13:22 +0000 2020,1255832614168137731,"@SF_Moro Culpa do ""Mito"" deveriam mudar esse apelido para Minto #DireitaQuerImpeachment",monguilhottpri,Vernica60233983,,"{'hashtags': [{'text': 'DireitaQuerImpeachment', 'indices': [85, 108]}], 'urls': [], 'user_mentions': [{'screen_name': 'Vernica60233983', 'name': 'Verônica', 'id': 1034844889031303171, 'id_str': '1034844889031303171', 'indices': [3, 19]}, {'screen_name': 'SF_Moro', 'name': 'Sergio Moro', 'id': 1113094855281008641, 'id_str': '1113094855281008641', 'indices': [21, 29]}], 'symbols': []}",,pt
Thu Apr 30 12:13:22 +0000 2020,1255832616886026241,"Em meio à maior crise humanitária q nossa geração já enfrentou, o Brasil teve o azar de ter em sua presidência um sujeito despreparado, trapalhão, irresponsável, desrespeitoso, ignorante e covarde, incapaz de liderar uma excursão de colégio.

#DireitaQuerImpeachment",Brunoclc1,o_colecionador,,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'o_colecionador', 'name': 'Fábio', 'id': 69223042, 'id_str': '69223042', 'indices': [3, 18]}], 'symbols': []}",,pt
Thu Apr 30 12:13:25 +0000 2020,1255832630005825536,"Famoso 04, #PegadorDoVivendasDaBarra pela explanação do vídeo é de se imaginar a educação escrota que a Família Buraco passa aos seus. Que vergonha! #Shame #ImpeachmentdoBolsonaroURGENTE #DireitaQuerImpeachment #ForaFamiliaBuraco",jmgdss,,,"{'hashtags': [{'text': 'PegadorDoVivendasDaBarra', 'indices': [11, 36]}], 'urls': [{'url': 'https://t.co/QyGjBTkJFr', 'expanded_url': 'https://twitter.com/i/web/status/1255832630005825536', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",,pt
Thu Apr 30 12:13:26 +0000 2020,1255832634351108096,"@Elenilsonheavym Não. Quando foi escrita saiu o acento. Mas só há duas hashtags. #DireitaRaizEBolsonaro e a falsa #DireiraRaizEBolsonaro .

#DireitaQuerImpeachment",Buglog1,,Elenilsonheavym,"{'hashtags': [{'text': 'DireitaRaizEBolsonaro', 'indices': [81, 103]}], 'urls': [{'url': 'https://t.co/kfXuQpj4sS', 'expanded_url': 'https://twitter.com/i/web/status/1255832634351108096', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [115, 138]}], 'user_mentions': [{'screen_name': 'Elenilsonheavym', 'name': 'Elenilson heavymetal', 'id': 1420698734, 'id_str': '1420698734', 'indices': [0, 16]}], 'symbols': []}",,pt
Thu Apr 30 12:13:32 +0000 2020,1255832656262168577,Infelizmente ele traiu uma nação,BrasucaJ,,,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",,pt
Thu Apr 30 12:13:32 +0000 2020,1255832658686488576,"A direita luta contra a corrupção e não a favor dela

A direita é isenta e não gado

A direita cobra dos políticos e não idolátra-os

A direita sempre apoiou o Deltan na PGR e não o petista Aras

A direita qr a VERDADE acima de tudo!

#DireitaQuerImpeachment",poIitizei,40Franci,,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': '40Franci', 'name': 'Franciele Araujo 🇧🇷 100% Lava Jato', 'id': 1118115346936934400, 'id_str': '1118115346936934400', 'indices': [3, 12]}], 'symbols': []}",,pt
Thu Apr 30 12:13:32 +0000 2020,1255832659642724358,Coroio... e essa tag nos trends #DireitaQuerImpeachment ? O negócio tá feio mesmo hein....,wandersonabre18,DaniloGentili,,"{'hashtags': [{'text': 'DireitaQuerImpeachment', 'indices': [51, 74]}], 'urls': [], 'user_mentions': [{'screen_name': 'DaniloGentili', 'name': 'Danilo Gentili', 'id': 14213711, 'id_str': '14213711', 'indices': [3, 17]}], 'symbols': []}",,pt
Thu Apr 30 12:13:34 +0000 2020,1255832667943325698,"@diogomainardi 🔰Só pode ser violentado os direitos do paciente David Uip, @jairbolsonaro? #DireitaQuerImpeachment",ssocorrosantoss,,diogomainardi,"{'hashtags': [{'text': 'DireitaQuerImpeachment', 'indices': [90, 113]}], 'urls': [], 'user_mentions': [{'screen_name': 'diogomainardi', 'name': 'diogomainardi', 'id': 15249841, 'id_str': '15249841', 'indices': [0, 14]}, {'screen_name': 'jairbolsonaro', 'name': 'Jair M. Bolsonaro', 'id': 128372940, 'id_str': '128372940', 'indices': [74, 88]}], 'symbols': []}",,pt
Thu Apr 30 12:13:38 +0000 2020,1255832682237394952,A robozada chegou #DireitaQuerImpeachment https://t.co/J7KNeaTQcY,leojuniorbahia,MBLivre,,"{'hashtags': [{'text': 'DireitaQuerImpeachment', 'indices': [31, 54]}], 'urls': [], 'user_mentions': [{'screen_name': 'MBLivre', 'name': 'MBL - Movimento Brasil Livre', 'id': 1523823530, 'id_str': '1523823530', 'indices': [3, 11]}], 'symbols': [], 'media': [{'id': 1255683605940011008, 'id_str': '1255683605940011008', 'indices': [55, 78], 'media_url': 'http://pbs.twimg.com/media/EW0VljJWAAA2ZkK.png', 'media_url_https': 'https://pbs.twimg.com/media/EW0VljJWAAA2ZkK.png', 'url': 'https://t.co/J7KNeaTQcY', 'display_url': 'pic.twitter.com/J7KNeaTQcY', 'expanded_url': 'https://twitter.com/MBLivre/status/1255683652312281089/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 497, 'h': 820, 'resize': 'fit'}, 'small': {'w': 412, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 497, 'h': 820, 'resize': 'fit'}}, 'source_status_id': 1255683652312281089, 'source_status_id_str': '1255683652312281089', 'source_user_id': 1523823530, 'source_user_id_str': '1523823530'}]}",,pt
Thu Apr 30 12:13:38 +0000 2020,1255832684456263686,Uma tag dessa pede que eu repasse #DireitaQuerImpeachment https://t.co/xfB8ZV8adl,alanmunix,SiilMooraes,,"{'hashtags': [{'text': 'DireitaQuerImpeachment', 'indices': [51, 74]}], 'urls': [], 'user_mentions': [{'screen_name': 'SiilMooraes', 'name': 'Sil', 'id': 54728962, 'id_str': '54728962', 'indices': [3, 15]}], 'symbols': [], 'media': [{'id': 1255796559725330434, 'id_str': '1255796559725330434', 'indices': [75, 98], 'media_url': 'http://pbs.twimg.com/media/EW18UUyWAAITzw_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EW18UUyWAAITzw_.jpg', 'url': 'https://t.co/xfB8ZV8adl', 'display_url': 'pic.twitter.com/xfB8ZV8adl', 'expanded_url': 'https://twitter.com/SiilMooraes/status/1255796566054637573/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'medium': {'w': 683, 'h': 384, 'resize': 'fit'}, 'large': {'w': 683, 'h': 384, 'resize': 'fit'}}, 'source_status_id': 1255796566054637573, 'source_status_id_str': '1255796566054637573', 'source_user_id': 54728962, 'source_user_id_str': '54728962'}]}",,pt
Thu Apr 30 12:13:39 +0000 2020,1255832688335949825,"URGENTE: LUÍS FUX ENCAMINHOU À PGR NOTÍCIA CRIME CONTRA BOLSONARO. 

A denúncia envolve possíveis (prováveis) NOTAS FRIAS entre 2009 e 2011 em Posto de Gasolina do RJ. 

Bolsonaro era o rei da pequena corrupção.

#DireitaQuerImpeachment",ariadneferraz,RenanSantosMBL,,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'RenanSantosMBL', 'name': 'Renan Santos', 'id': 1042601099566436352, 'id_str': '1042601099566436352', 'indices': [3, 18]}], 'symbols': []}",,pt
Thu Apr 30 12:13:40 +0000 2020,1255832691792056324,"@diogomainardi 🔰Só pode ser violentado os direitos do paciente David Uip, @jairbolsonaro? #DireitaQuerImpeachment",ssocorrosantoss,ssocorrosantoss,,"{'hashtags': [{'text': 'DireitaQuerImpeachment', 'indices': [111, 134]}], 'urls': [], 'user_mentions': [{'screen_name': 'ssocorrosantoss', 'name': 'SOCORRO “MORO” SANTOS', 'id': 55481769, 'id_str': '55481769', 'indices': [3, 19]}, {'screen_name': 'diogomainardi', 'name': 'diogomainardi', 'id': 15249841, 'id_str': '15249841', 'indices': [21, 35]}, {'screen_name': 'jairbolsonaro', 'name': 'Jair M. Bolsonaro', 'id': 128372940, 'id_str': '128372940', 'indices': [95, 109]}], 'symbols': []}",,pt
Thu Apr 30 12:13:43 +0000 2020,1255832705096433664,Coroio... e essa tag nos trends #DireitaQuerImpeachment ? O negócio tá feio mesmo hein....,Beto_Spina,DaniloGentili,,"{'hashtags': [{'text': 'DireitaQuerImpeachment', 'indices': [51, 74]}], 'urls': [], 'user_mentions': [{'screen_name': 'DaniloGentili', 'name': 'Danilo Gentili', 'id': 14213711, 'id_str': '14213711', 'indices': [3, 17]}], 'symbols': []}",,pt
Thu Apr 30 12:13:46 +0000 2020,1255832715477299201,"Vou me sentir Violentado, diz Bolsonero.
Violentado está o Brasil retratado vergonhosamente para o mundo como um país q tem seu representante descompromissado com as consequências mortais q o vírus traz, inclusive ao seu eleitor.
#DireitaQuerImpeachment eu quero
#ForaBolsonaro https://t.co/Rq1N8yH5o0",TiaBiba49,,,"{'hashtags': [], 'urls': [{'url': 'https://t.co/TA7tSrw5qa', 'expanded_url': 'https://twitter.com/i/web/status/1255832715477299201', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",,pt
Thu Apr 30 12:13:46 +0000 2020,1255832718132359169,"Se o povo depender dos cuidados do presidente da República em relação ao covid-19 vai faltar vala para enterrar tanta gente.

#COVID19
#DireitaQuerImpeachment",CecliaOrnelas1,,,"{'hashtags': [], 'urls': [{'url': 'https://t.co/24IPPFEN0k', 'expanded_url': 'https://twitter.com/i/web/status/1255832718132359169', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",,pt
Thu Apr 30 12:13:47 +0000 2020,1255832720921501696,"👑Voce nunca foi de direita. Você é a nova safra do establishment, a nova esquerda. Já pongou uma vez, duas já é demais...",deniseaeg,HumbertoReisJr,,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'HumbertoReisJr', 'name': 'Humberto R', 'id': 176580977, 'id_str': '176580977', 'indices': [3, 18]}], 'symbols': []}",,pt
Thu Apr 30 12:13:52 +0000 2020,1255832741368774659,@Rconstantino Calma @Rconstantino o movimento #DireitaQuerImpeachment mal começou. Aguarde!,ArmenioVartan,,Rconstantino,"{'hashtags': [{'text': 'DireitaQuerImpeachment', 'indices': [46, 69]}], 'urls': [], 'user_mentions': [{'screen_name': 'Rconstantino', 'name': 'Rodrigo Constantino', 'id': 33520195, 'id_str': '33520195', 'indices': [0, 13]}, {'screen_name': 'Rconstantino', 'name': 'Rodrigo Constantino', 'id': 33520195, 'id_str': '33520195', 'indices': [20, 33]}], 'symbols': []}",,pt
Thu Apr 30 12:13:52 +0000 2020,1255832741129617408,"""Verás que um filho teu não foge à luta...""

Nós  derrubamos uma quadrilha e vamos derrubar a nova que está se apoderando das estatais através de um grande e asqueroso arcodão com o que há de mais corrupto com o Centrão. NÃO VAMOS PERMITIR ISSO BOLSONARO 
#DireitaQuerImpeachment https://t.co/5t24evWIDS",heraldocosta8,,,"{'hashtags': [], 'urls': [{'url': 'https://t.co/PGemERmUOd', 'expanded_url': 'https://twitter.com/i/web/status/1255832741129617408', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",,pt
